event_id,event_anchor_at,mention_session,market_event_date,pattern_status,market_data_status,mention_count,channel_count,baseline_active_days,event_active_days,event_max_volume_ratio,event_volume_robust_z,event_peak_return_pct,event_peak_abnormal_return_pct,post_data_status,post_observation_days,post_relative_return_pct,post_max_drawdown_pct,disclosure_status,material_disclosure_observed,news_status,reason_badges
EVT-1F347D7048,2026-06-02 12:00:26+09:00,장중,2026-06-02,주의 패턴 관찰,확인,12,3,15,3,168.32768445200918,10.329342301191117,68.87921653971709,68.90778715198532,15거래일 관찰 완료,15,-23.71624160783253,-50.06443298969072,관찰 기간 내 공시 미확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 관찰 기간 내 공시 미확인
EVT-2B2CADD7B4,2026-06-02 20:37:21+09:00,장후,2026-06-04,주의 패턴 관찰,확인,1,1,15,3,19.913334336029713,4.907463537122432,73.33965844402277,84.51282102211503,15거래일 관찰 완료,15,-2.5972623573849773,-51.450465243568686,관찰 기간 내 공시 확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 관찰 기간 내 공시 확인
EVT-D5B4A0F895,2026-06-03 12:29:31+09:00,휴장일,2026-06-04,주의 패턴 관찰,확인,1,1,15,3,4.566811312284902,1.9061466972711418,15.437158469945356,26.610321048037612,15거래일 관찰 완료,15,27.317501908845497,-18.04281345565749,관찰 기간 내 공시 확인,True,확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 유사 기사 반복 관찰; 중요 공시 후보 제목 관찰
EVT-3A1C05F416,2026-06-03 12:52:47+09:00,휴장일,2026-06-04,주의 패턴 관찰,확인,5,2,15,3,8.22616883313638,2.3510684594470836,12.35955056179776,20.386645724159678,15거래일 관찰 완료,15,16.024918788640896,-28.449502133712656,관찰 기간 내 공시 확인,True,기사 미확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 중요 공시 후보 제목 관찰; 뉴스: 기사 미확인
EVT-297FEC200F,2026-06-03 23:54:27+09:00,휴장일,2026-06-04,주의 패턴 관찰,확인,12,4,15,3,62.174034409641145,7.855875771684674,29.506641366223917,40.67980394431617,15거래일 관찰 완료,15,-4.575081211359102,-45.59770937723694,캐시 범위 부족,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 캐시 범위 부족
EVT-942E5393A1,2026-06-04 11:00:28+09:00,장중,2026-06-04,주의 패턴 관찰,확인,5,1,15,3,24.104985287528912,3.7395940054795727,28.301886792452823,29.846322857527962,15거래일 관찰 완료,15,-11.486845917241464,-26.91176470588236,관찰 기간 내 공시 확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 관찰 기간 내 공시 확인
EVT-E49E93C52C,2026-06-05 07:04:53+09:00,장전,2026-06-05,주의 패턴 관찰,확인,2,2,15,3,4.734773166363469,2.3423168506219714,18.226600985221687,31.07682064527124,15거래일 관찰 완료,15,12.639110327688607,-20.789473684210524,관찰 기간 내 공시 확인,False,확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 관찰 기간 내 공시 확인
EVT-5A794D741A,2026-06-05 11:00:20+09:00,장중,2026-06-05,주의 패턴 관찰,확인,1,1,11,3,7.6083197377429705,1.9280435254045931,14.077669902912614,18.58263784705063,15거래일 관찰 완료,15,-10.504239442993134,-26.595744680851062,관찰 기간 내 공시 확인,False,기사 미확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 관찰 기간 내 공시 확인; 뉴스: 기사 미확인
EVT-74E5E69A38,2026-06-05 15:29:39+09:00,장중,2026-06-05,주의 패턴 관찰,확인,2,2,15,3,12.45127421157189,3.29485751646846,5.510534846029169,10.015502790167186,15거래일 관찰 완료,15,-14.269249084461256,-29.339477726574504,관찰 기간 내 공시 확인,False,확인,기준 중앙값 대비 거래량 이상; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 관찰 기간 내 공시 확인
EVT-2A1A9C6235,2026-06-05 21:28:43+09:00,장후,2026-06-08,주의 패턴 관찰,확인,3,2,15,3,60.92040642506688,5.736568121599917,29.943100995732586,39.02593887131617,15거래일 관찰 완료,15,-44.68541357756809,-53.69458128078818,관찰 기간 내 공시 확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 관찰 기간 내 공시 확인
